cdom,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.0,0.056161327630004,0.0641181867604447,0.066865216194389,0.0648061939809057,0.0605331789010726,0.0550102249270238,0.0475310947670358,0.0368853414820112,0.027880061121091,0.0240355061981681,0.0224229135645879,0.02033818989853,0.017453167833416,0.0145307140561484,0.0122680829767555,0.0102764005154715,0.0080644271830556,0.0056080652536019,0.0038861626615767,0.0030126809572706,0.002578586819966,0.0023522283734046,0.0021655870621311,0.0019257714940288,0.0016321151129974,0.0014034830956115,0.0012623046966208,0.0011441078811273,0.0010032931589723,0.0008304682465425,0.0006589812454656,0.0004909662865498,0.0003344394890119,0.0002422011249874,0.0002026496373475,0.0001840753293775,0.0001724693596339,0.000161472097392,0.000148504082612,0.0001345072233658,0.0001243505620435,0.0001150796911404,9.94259964077624e-05,8.565740372860511e-05,7.860230977167952e-05,7.362854170589356e-05,6.831381185329047e-05,6.254580917730298e-05,5.577338980700426e-05,4.807192338752836e-05,4.038998224540448e-05,3.2565886215285696e-05,2.486733390953241e-05,1.877507272227313e-05,1.4375795838914914e-05,1.1162314485495578e-05,9.240683646803208e-06,8.542045583445486e-06,8.207035531585228e-06,7.757629789320633e-06,7.436395344087784e-06,7.307398748152966e-06,7.297643714752633e-06,7.394202902503359e-06,7.560160684777196e-06,7.662188615384085e-06,7.529420020526662e-06,7.022782536626849e-06,6.140294529639792e-06,5.044979706128643e-06,3.954040244504444e-06,3.013732256304892e-06,2.2711438239817383e-06,1.7116052896218525e-06,1.2986605297409633e-06,9.954413847391214e-07,7.719435771636118e-07,6.058021719647846e-07,4.809649632531694e-07,3.8607077898708194e-07,3.130921391523244e-07,2.5632937446134245e-07,2.1170176519604418e-07,1.7625817155553318e-07,1.478412149004035e-07,1.248564307127872e-07,1.0611263065144669e-07,9.071058986529813e-08,7.796469123220937e-08,6.734721341014401e-08,5.844831456121193e-08,5.09469994518518e-08,4.458984779825321e-08,3.917528079431142e-08,3.4541817642602323e-08,3.055923369196969e-08,2.712184780858328e-08,2.4143385836743264e-08,2.155302045066302e-08,1.9292296084091932e-08
0.005,0.02378320851182,0.0260921720498754,0.0273407819658991,0.0276009769868631,0.0272860430004898,0.0264894670696042,0.0248452578332515,0.0215790778221349,0.018128230887762,0.0165340007234306,0.0159223860984971,0.0149715272395691,0.0134268264567568,0.0116820068353952,0.0102219439204476,0.0088381726426153,0.0071727287316345,0.0051713356151174,0.003677719275304,0.0028909546577895,0.0024929700366938,0.0022842260130359,0.0021106706282183,0.0018843883944622,0.0016037885279618,0.0013835668905468,0.001247022957629,0.0011322134671444,0.0009946301085167,0.0008248482126305,0.0006556334289189,0.0004892096622792,0.0003336696846127,0.0002418203153975,0.0002023984321758,0.0001838801503269,0.0001723080892036,0.0001613391058532,0.0001483982975755,0.000134425644515,0.0001242850481949,0.0001150269912052,9.938906211275704e-05,8.563167584736971e-05,7.858198564526029e-05,7.361181785133867e-05,6.83003158074307e-05,6.253520743969e-05,5.576549257943422e-05,4.806642931285855e-05,4.038635144727868e-05,3.256367730204278e-05,2.4866128966966405e-05,1.877443035378645e-05,1.4375443745072322e-05,1.116211608612633e-05,9.240556606113928e-06,8.541944185476038e-06,8.206948129939458e-06,7.757556890677307e-06,7.436332830382156e-06,7.307342430924958e-06,7.2975913276298145e-06,7.394152753130627e-06,7.560111813909575e-06,7.662141833008832e-06,7.529377931074922e-06,7.022748430773614e-06,6.140270250277457e-06,5.044964447494308e-06,3.954031520660582e-06,3.0137275404950984e-06,2.2711413325374197e-06,1.711603973551164e-06,1.2986598252591743e-06,9.9544099995766e-07,7.719433621048367e-07,6.058020488950472e-07,4.809648911886392e-07,3.8607073586137066e-07,3.130921128158103e-07,2.5632935807329426e-07,2.117017548207119e-07,1.7625816488160857e-07,1.4784121054416406e-07,1.248564278308156e-07,1.0611262872099278e-07,9.071058855729164e-08,7.796469033649265e-08,6.734721279069152e-08,5.8448314128876496e-08,5.0946999147527175e-08,4.458984758232429e-08,3.9175280639957104e-08,3.454181753149102e-08,3.055923361146067e-08,2.7121847749887192e-08,2.4143385793700722e-08,2.155302041892573e-08,1.9292296060568828e-08
0.01,0.0142926534415496,0.015435712490863,0.0161838479607552,0.0165632668258424,0.0167155797777049,0.0166544028959181,0.0161821611666168,0.0148366808367919,0.0131909384841172,0.012429609318786,0.0122009188295922,0.0117353585449795,0.0108366944291725,0.0097236186127559,0.0087348706660935,0.0077385590975567,0.0064522099591122,0.0047959838617228,0.0034900876253719,0.0027785448967476,0.0024127893220329,0.0022200037172827,0.0020584441109054,0.0018447320003521,0.0015764220919646,0.0013642051030405,0.0012321051743207,0.0011205628893646,0.0009861149240791,0.0008193035624037,0.000652319405088,0.0004874655520221,0.0003329034143486,0.0002414407011244,0.0002021478489164,0.0001836853846843,0.0001721471200511,0.0001612063331788,0.0001482926631269,0.000134344164552,0.0001242196033372,0.0001149743395122,9.93521552467362e-05,8.560596341614541e-05,7.856167202622083e-05,7.359510159213033e-05,6.828682509295375e-05,6.252460929547059e-05,5.575759758793113e-05,4.806093649385297e-05,4.038272130185997e-05,3.256146868843509e-05,2.4864924141165026e-05,1.8773788029254065e-05,1.4375091668476352e-05,1.1161917693809672e-05,9.2404295689177e-06,8.541842789913841e-06,8.206860730155248e-06,7.757483993404034e-06,7.43627031772755e-06,7.307286114564999e-06,7.2975389412591266e-06,7.394102604438145e-06,7.560062943673779e-06,7.662095051204845e-06,7.52933584209374e-06,7.022714325251645e-06,6.140245971107128e-06,5.044949188952273e-06,3.954022796855215e-06,3.013722824700064e-06,2.271138841098567e-06,1.7116026574824997e-06,1.2986591207781498e-06,9.95440615176496e-07,7.719431470461813e-07,6.058019258253597e-07,4.809648191241307e-07,3.860706927356692e-07,3.130920864793008e-07,2.5632934168524824e-07,2.117017444453807e-07,1.7625815820768446e-07,1.4784120618792478e-07,1.2485642494884418e-07,1.0611262679053898e-07,9.07105872492852e-08,7.796468944077594e-08,6.7347212171239e-08,5.8448313696541066e-08,5.0946998843202524e-08,4.4589847366395356e-08,3.917528048560279e-08,3.4541817420379736e-08,3.0559233530951665e-08,2.712184769119111e-08,2.4143385750658174e-08,2.1553020387188452e-08,1.9292296037045707e-08
0.015,0.0100170537347055,0.0107246792806658,0.0112397761177797,0.0115762005921519,0.0118014479484524,0.0119158316470142,0.0118006578450397,0.0111611729377905,0.010273648748251,0.0098852576732806,0.009826089134103,0.0095976799508568,0.0090472185835603,0.0083037172630315,0.0076102911055289,0.0068731390883809,0.0058588874258879,0.00447013948383,0.0033203399483799,0.002674432767214,0.00233754756346,0.0021592574239684,0.0020087160916652,0.0018066971632806,0.001549968062993,0.0013453750020304,0.0012175385467978,0.0011091487505534,0.0009777438621427,0.0008138327922961,0.0006490386655955,0.000485733822642,0.0003321406539479,0.0002410622765503,0.0002018978852629,0.0001834910311377,0.0001719864513332,0.000161073778829,0.0001481871789449,0.0001342627832971,0.0001241542273613,0.0001149217359953,9.93152757791576e-05,8.558026642101976e-05,7.854136890641524e-05,7.357839292309558e-05,6.82733397067011e-05,6.251401474281812e-05,5.574970483154544e-05,4.8055444930081215e-05,4.037909180897242e-05,3.255926037440171e-05,2.4863719432111272e-05,1.877314574867145e-05,1.437473960912573e-05,1.116171930854522e-05,9.240302535214384e-06,8.54174139675881e-06,8.20677333223254e-06,7.757411097500765e-06,7.436207806123953e-06,7.307229799073077e-06,7.297486555640551e-06,7.394052456425892e-06,7.5600140740697935e-06,7.662048269972118e-06,7.529293753583109e-06,7.022680220060937e-06,6.140221692128801e-06,5.044933930502535e-06,3.954014073088342e-06,3.0137181089197864e-06,2.2711363496651807e-06,1.711601341415859e-06,1.29865841629789e-06,9.9544023039563e-07,7.719429319876459e-07,6.058018027557222e-07,4.809647470596435e-07,3.860706496099772e-07,3.130920601427955e-07,2.563293252972043e-07,2.1170173407005046e-07,1.7625815153376078e-07,1.4784120183168576e-07,1.248564220668729e-07,1.061126248600852e-07,9.07105859412788e-08,7.796468854505923e-08,6.734721155178651e-08,5.844831326420566e-08,5.0946998538877873e-08,4.458984715046642e-08,3.917528033124848e-08,3.4541817309268435e-08,3.0559233450442646e-08,2.7121847632495023e-08,2.4143385707615626e-08,2.1553020355451167e-08,1.9292296013522596e-08
0.02,0.0076434596081319,0.0081384955790549,0.00852422449033,0.0088094303831991,0.0090327943342488,0.0091921546596135,0.0092099087550648,0.0088854818263276,0.0083705451795794,0.0081708452211632,0.0081936177295252,0.0080918744204765,0.007744644876756,0.0072317255096455,0.0067328303543634,0.0061758223210682,0.005362453187895,0.0041847709694916,0.0031660676731231,0.00257774150359,0.0022668060336213,0.0021017146143334,0.0019613127817418,0.0017701870558435,0.0015243817983062,0.001327055077646,0.0012033108664403,0.0010979639488277,0.000969513304195,0.0008084344383906,0.0006457907121971,0.0004840143428826,0.0003313813793607,0.0002406850360926,0.0002016485389205,0.000183297088381,0.0001718260822095,0.0001609414422658,0.0001480818447091,0.0001341815005711,0.0001240889201585,0.0001148691805884,9.927842367952432e-05,8.555458484809714e-05,7.852107627770581e-05,7.356169183906613e-05,6.825985964551686e-05,6.250342377990725e-05,5.5741814309328064e-05,4.804995462111308e-05,4.037546296844004e-05,3.255705235988165e-05,2.4862514839788182e-05,1.8772503512034105e-05,1.4374387567019185e-05,1.1161520930332605e-05,9.240175505003837e-06,8.541640006010857e-06,8.206685936171286e-06,7.757338202967468e-06,7.436145295571325e-06,7.307173484449164e-06,7.297434170774072e-06,7.394002309093863e-06,7.559965205097607e-06,7.66200148931063e-06,7.529251665543018e-06,7.022646115201486e-06,6.1401974133424765e-06,5.0449186721450965e-06,3.954005349359962e-06,3.013713393154268e-06,2.271133858237261e-06,1.7116000253512424e-06,1.298657711818394e-06,9.954398456150614e-07,7.719427169292301e-07,6.058016796861347e-07,4.809646749951781e-07,3.860706064842949e-07,3.130920338062948e-07,2.563293089091624e-07,2.117017236947213e-07,1.7625814485983766e-07,1.4784119747544714e-07,1.2485641918490168e-07,1.0611262292963157e-07,9.071058463327245e-08,7.796468764934259e-08,6.734721093233403e-08,5.8448312831870245e-08,5.0946998234553236e-08,4.45898469345375e-08,3.917528017689415e-08,3.454181719815714e-08,3.055923336993363e-08,2.7121847573798952e-08,2.414338566457308e-08,2.1553020323713884e-08,1.929229598999948e-08
0.025,0.0061518031830468,0.0065253811123518,0.006830597064161,0.0070736167096029,0.0072793167857635,0.007445332667578,0.0075176020212784,0.0073523033385466,0.0070408513955528,0.0069449205128265,0.0070092387074869,0.0069794272737433,0.0067580435986743,0.0063962933187,0.0060307128205108,0.0056029113478959,0.004941394374917,0.0039328924637669,0.0030252720855737,0.0024877126906567,0.0022001761129799,0.0020471303482263,0.0019160760485029,0.0017351123682681,0.0014996215079288,0.001309224960555,0.0011894104822527,0.0010870016630981,0.0009614197515639,0.0008031070751227,0.0006425750565313,0.0004823069833351,0.0003306255667562,0.0002403089742033,0.0002013998076057,0.0001831035551132,0.000171666011843,0.0001608093229529,0.0001479766601001,0.0001341003161951,0.0001240236816204,0.0001148166732256,9.924159891738458e-05,8.55289186834986e-05,7.850079413196345e-05,7.354499833487832e-05,6.824638490624759e-05,6.249283640491386e-05,5.573392602033061e-05,4.804446556651853e-05,4.037183478008703e-05,3.2554844644814e-05,2.48613103641788e-05,1.877186131933752e-05,1.437403554215546e-05,1.1161322559171446e-05,9.240048478285911e-06,8.541538617669898e-06,8.206598541971416e-06,7.757265309804105e-06,7.436082786069645e-06,7.307117170693247e-06,7.297381786659679e-06,7.393952162442037e-06,7.559916336757211e-06,7.661954709220383e-06,7.529209577973462e-06,7.022612010673285e-06,6.14017313474815e-06,5.044903413879956e-06,3.953996625670079e-06,3.0137086774035067e-06,2.271131366814807e-06,1.7115987092886493e-06,1.2986570073396625e-06,9.9543946083479e-07,7.719425018709343e-07,6.058015566165973e-07,4.809646029307342e-07,3.8607056335862236e-07,3.1309200746979844e-07,2.5632929252112245e-07,2.1170171331939306e-07,1.7625813818591506e-07,1.478411931192086e-07,1.2485641630293068e-07,1.0611262099917797e-07,9.071058332526612e-08,7.796468675362595e-08,6.734721031288156e-08,5.8448312399534855e-08,5.094699793022861e-08,4.458984671860857e-08,3.9175280022539846e-08,3.4541817087045854e-08,3.0559233289424634e-08,2.7121847515102864e-08,2.4143385621530542e-08,2.15530202919766e-08,1.929229596647637e-08
0.03,0.0051344150608519,0.0054310761645331,0.0056820626542243,0.0058919899012449,0.0060781533862755,0.0062384795703794,0.0063334436719407,0.0062555630622672,0.006063935222471,0.0060285122771217,0.0061141451627377,0.0061269291002807,0.0059870748138076,0.0057283849030249,0.005457140078544,0.0051244488023929,0.0045800485756269,0.0037090205797116,0.0028962813420067,0.002403687071224,0.0021373123750992,0.0019952838799553,0.001872861699995,0.0017013905959864,0.0014756480312253,0.0012918653476003,0.0011758262694774,0.0010762553393626,0.0009534598205081,0.0007978493140347,0.0006393912198755,0.0004806116164057,0.0003298731925202,0.0002399340853694,0.000201151689046,0.000182910430039,0.0001715062393997,0.000160677420356,0.0001478716247993,0.0001340192299907,0.0001239585116388,0.0001147642138409,9.920480146233192e-05,8.550326791336177e-05,7.848052246106738e-05,7.352831240537329e-05,6.823291548574234e-05,6.248225261601508e-05,5.5726039963605086e-05,4.803897776586775e-05,4.036820724373756e-05,3.255263722913785e-05,2.4860106005266152e-05,1.877121917057719e-05,1.4373683534533288e-05,1.1161124195061362e-05,9.239921455060469e-06,8.541437231735846e-06,8.206511149632868e-06,7.757192418010633e-06,7.43602027761889e-06,7.3070608578053e-06,7.297329403297349e-06,7.3939020164704e-06,7.55986746904859e-06,7.661907929701358e-06,7.529167490874429e-06,7.022577906476331e-06,6.140148856345817e-06,5.044888155707109e-06,3.953987902018688e-06,3.013703961667504e-06,2.271128875397819e-06,1.711597393228081e-06,1.2986563028616951e-06,9.95439076054816e-07,7.719422868127585e-07,6.058014335471099e-07,4.80964530866312e-07,3.860705202329592e-07,3.130919811333066e-07,2.5632927613308485e-07,2.117017029440659e-07,1.7625813151199294e-07,1.478411887629704e-07,1.2485641342095976e-07,1.0611261906872441e-07,9.071058201725985e-08,7.796468585790929e-08,6.734720969342911e-08,5.8448311967199465e-08,5.0946997625903974e-08,4.4589846502679665e-08,3.917527986818552e-08,3.4541816975934554e-08,3.0559233208915615e-08,2.7121847456406783e-08,2.4143385578487997e-08,2.1553020260239313e-08,1.929229594295325e-08
0.035,0.0043991170205327,0.0046434129414968,0.0048557111212183,0.0050396228723049,0.0052078622729128,0.0053587122634615,0.0054621714412612,0.0054352203278563,0.0053182009612367,0.0053195421806903,0.0054157429045781,0.0054544277759563,0.005369284106041,0.0051831061802353,0.0049803963082908,0.004719260734713,0.0042667597072154,0.0035087944225892,0.0027776867441805,0.0023250889522102,0.0020779067808909,0.0019459757583268,0.0018315379892745,0.0016689454064093,0.0014524246340806,0.0012749579331639,0.0011625476002992,0.0010657186777931,0.0009456302375465,0.0007926598025782,0.00063623873291,0.000478928116284,0.0003291242332528,0.0002395603641118,0.0002009041809804,0.0001827177118685,0.0001713467640488,0.0001605457339421,0.000147766738489,0.0001339382417801,0.0001238934101056,0.0001147118023686,9.916803128400486e-05,8.547763252384092e-05,7.846026125690517e-05,7.351163404539683e-05,6.821945138085266e-05,6.247167241138922e-05,5.57181561382041e-05,4.803349121873108e-05,4.036458035921588e-05,3.255043011279229e-05,2.485890176303329e-05,1.8770577065748584e-05,1.4373331544151395e-05,1.1160925838001987e-05,9.239794435327356e-06,8.54133584820862e-06,8.206423759155591e-06,7.757119527587015e-06,7.435957770219031e-06,7.307004545785308e-06,7.297277020687067e-06,7.393851871178944e-06,7.559818601971727e-06,7.661861150753549e-06,7.5291254042459156e-06,7.022543802610616e-06,6.140124578135484e-06,5.0448728976265605e-06,3.953979178405792e-06,3.0136992459462592e-06,2.2711263839862973e-06,1.7115960771695357e-06,1.2986555983844922e-06,9.954386912751397e-07,7.719420717547023e-07,6.058013104776722e-07,4.809644588019115e-07,3.860704771073058e-07,3.130919547968191e-07,2.563292597450493e-07,2.117016925687397e-07,1.7625812483807125e-07,1.478411844067325e-07,1.2485641053898898e-07,1.0611261713827097e-07,9.071058070925358e-08,7.796468496219269e-08,6.734720907397666e-08,5.844831153486407e-08,5.0946997321579336e-08,4.4589846286750744e-08,3.91752797138312e-08,3.4541816864823247e-08,3.0559233128406615e-08,2.7121847397710705e-08,2.4143385535445452e-08,2.1553020228502028e-08,1.9292295919430143e-08
0.04,0.0038443126136381,0.0040510003247559,0.0042344695071158,0.0043976389726997,0.0045502524317886,0.0046909108044257,0.0047961514999695,0.0048001147338854,0.0047315612918615,0.0047558674817388,0.0048566864560259,0.004911320265649,0.00486392102953,0.0047300943969942,0.0045782799473977,0.0043719864163201,0.0039926852815508,0.0033287046391293,0.0026682932792734,0.0022514134491974,0.0020216837805447,0.0018990253322341,0.0017919843064685,0.0016377060748524,0.0014299168245077,0.0012584853457514,0.0011495643164801,0.0010553856205626,0.000937927835012,0.0007875372229628,0.0006331171354881,0.0004772563589118,0.0003283786657659,0.0002391878049859,0.0002006572811588,0.0001825253993173,0.0001711875849625,0.0001604142631805,0.0001476620008526,0.0001338573513856,0.0001238283769132,0.0001146594387432,9.913128835208691e-05,8.545201250110694e-05,7.844001051137286e-05,7.349496324979933e-05,6.820599258843256e-05,6.246109578921588e-05,5.571027454318081e-05,4.802800592467911e-05,4.036095412634634e-05,3.2548223295716445e-05,2.4857697637463236e-05,1.876993500484723e-05,1.4372979571008522e-05,1.1160727487992944e-05,9.23966741908644e-06,8.541234467088125e-06,8.206336370539521e-06,7.757046638533214e-06,7.435895263870041e-06,7.306948234633246e-06,7.297224638828821e-06,7.393801726567653e-06,7.559769735526619e-06,7.661814372376942e-06,7.529083318087915e-06,7.022509699076139e-06,6.140100300117138e-06,5.044857639638305e-06,3.953970454831386e-06,3.0136945302397725e-06,2.2711238925802417e-06,1.7115947611130143e-06,1.298654893908054e-06,9.954383064957608e-07,7.71941856696766e-07,6.058011874082851e-07,4.809643867375322e-07,3.860704339816621e-07,3.130919284603361e-07,2.563292433570156e-07,2.1170168219341458e-07,1.7625811816415021e-07,1.4784118005049478e-07,1.2485640765701832e-07,1.0611261520781757e-07,9.071057940124737e-08,7.796468406647611e-08,6.734720845452422e-08,5.844831110252869e-08,5.094699701725473e-08,4.4589846070821816e-08,3.9175279559476906e-08,3.4541816753711966e-08,3.05592330478976e-08,2.7121847339014624e-08,2.414338549240289e-08,2.1553020196764745e-08,1.9292295895907036e-08
0.045,0.0034115625511939,0.003590109899705,0.003751353871372,0.0038977129067628,0.0040368985336297,0.0041677732503356,0.0042715383295242,0.0042947868342683,0.0042587617093106,0.0042976454839744,0.0043997001356277,0.0044641304217097,0.0044433452572187,0.0043481298574226,0.004234816115544,0.004071228911266,0.0037510029859314,0.0031658968472867,0.0025670808502829,0.0021822159869094,0.0019683961624136,0.0018542685973767,0.001754090031736,0.0016076069809878,0.0014080921847666,0.0012424310893398,0.0011368667037789,0.0010452503403634,0.0009303495468199,0.0007824802910478,0.0006300259764136,0.0004755962219529,0.0003276364670804,0.0002388164025805,0.0002004109873422,0.0001823334911064,0.000171028701316,0.0001602830075417,0.000147557411574,0.0001337765586303,0.0001237634119538,0.0001146071228991,9.909457263630652e-05,8.542640783134734e-05,7.841977021637472e-05,7.347830001343595e-05,6.81925391053386e-05,6.245052274767589e-05,5.570239517758886e-05,4.80225218832826e-05,4.035732854495336e-05,3.2546016777849465e-05,2.485649362853907e-05,1.8769292987868595e-05,1.4372627615103396e-05,1.1160529145033855e-05,9.239540406337564e-06,8.541133088374284e-06,8.2062489837846e-06,7.756973750849188e-06,7.435832758571888e-06,7.306891924349101e-06,7.297172257722592e-06,7.393751582636511e-06,7.559720869713247e-06,7.661767594571531e-06,7.529041232400413e-06,7.022475595872895e-06,6.140076022290783e-06,5.044842381742345e-06,3.953961731295476e-06,3.013689814548044e-06,2.271121401179653e-06,1.7115934450585167e-06,1.2986541894323795e-06,9.95437921716679e-07,7.719416416389494e-07,6.058010643389475e-07,4.809643146731747e-07,3.860703908560279e-07,3.130919021238576e-07,2.563292269689843e-07,2.117016718180904e-07,1.7625811149022958e-07,1.4784117569425733e-07,1.2485640477504785e-07,1.0611261327736425e-07,9.071057809324123e-08,7.796468317075955e-08,6.73472078350718e-08,5.84483106701933e-08,5.0946996712930094e-08,4.4589845854892915e-08,3.9175279405122595e-08,3.454181664260067e-08,3.055923296738859e-08,2.7121847280318543e-08,2.4143385449360352e-08,2.1553020165027456e-08,1.9292295872383912e-08
