cdom,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.0,0.056161327630004,0.0641181867604447,0.066865216194389,0.0648061939809057,0.0605331789010726,0.0550102249270238,0.0475310947670358,0.0368853414820112,0.027880061121091,0.0240355061981681,0.0224229135645879,0.02033818989853,0.017453167833416,0.0145307140561484,0.0122680829767555,0.0102764005154715,0.0080644271830556,0.0056080652536019,0.0038861626615767,0.0030126809572706,0.002578586819966,0.0023522283734046,0.0021655870621311,0.0019257714940288,0.0016321151129974,0.0014034830956115,0.0012623046966208,0.0011441078811273,0.0010032931589723,0.0008304682465425,0.0006589812454656,0.0004909662865498,0.0003344394890119,0.0002422011249874,0.0002026496373475,0.0001840753293775,0.0001724693596339,0.000161472097392,0.000148504082612,0.0001345072233658,0.0001243505620435,0.0001150796911404,9.94259964077624e-05,8.565740372860511e-05,7.860230977167952e-05,7.362854170589356e-05,6.831381185329047e-05,6.254580917730298e-05,5.577338980700426e-05,4.807192338752836e-05,4.038998224540448e-05,3.2565886215285696e-05,2.486733390953241e-05,1.877507272227313e-05,1.4375795838914914e-05,1.1162314485495578e-05,9.240683646803208e-06,8.542045583445486e-06,8.207035531585228e-06,7.757629789320633e-06,7.436395344087784e-06,7.307398748152966e-06,7.297643714752633e-06,7.394202902503359e-06,7.560160684777196e-06,7.662188615384085e-06,7.529420020526662e-06,7.022782536626849e-06,6.140294529639792e-06,5.044979706128643e-06,3.954040244504444e-06,3.013732256304892e-06,2.2711438239817383e-06,1.7116052896218525e-06,1.2986605297409633e-06,9.954413847391214e-07,7.719435771636118e-07,6.058021719647846e-07,4.809649632531694e-07,3.8607077898708194e-07,3.130921391523244e-07,2.5632937446134245e-07,2.1170176519604418e-07,1.7625817155553318e-07,1.478412149004035e-07,1.248564307127872e-07,1.0611263065144669e-07,9.071058986529813e-08,7.796469123220937e-08,6.734721341014401e-08,5.844831456121193e-08,5.09469994518518e-08,4.458984779825321e-08,3.917528079431142e-08,3.4541817642602323e-08,3.055923369196969e-08,2.712184780858328e-08,2.4143385836743264e-08,2.155302045066302e-08,1.9292296084091932e-08
0.005,0.0335982868027299,0.0358027372089511,0.0358284186889732,0.0342247746929679,0.0319631299922196,0.0293566631209287,0.0261245054764063,0.0216619888812643,0.0175689000274518,0.0155629858978593,0.0145729634760222,0.0133836808435214,0.0118169036972136,0.010195878475755,0.0088739996235052,0.0076652386910081,0.0062763634239378,0.0046281675075294,0.0033629287512499,0.0026739215783232,0.0023161516134378,0.0021234916228135,0.0019629201843721,0.0017577778194409,0.0015052353097854,0.0013051505872246,0.0011793422227598,0.001073128902755,0.0009463748148297,0.0007897178647191,0.0006321680518718,0.0004754138773318,0.0003269032101191,0.0002380917979371,0.0001996705357056,0.0001815346670161,0.0001701660608347,0.0001593880498572,0.0001466848538179,0.000132967345018,0.0001229935558874,0.000113881876943,9.850425312878824e-05,8.495246942460763e-05,7.799125914199742e-05,7.307690811586452e-05,6.782538768691383e-05,6.212481324077743e-05,5.542923985790194e-05,4.780913715715619e-05,4.0199363768981e-05,3.243858726795399e-05,2.4791106515277074e-05,1.873046988709284e-05,1.4348967517836956e-05,1.1145727129373423e-05,9.229031252430491e-06,8.531843963975872e-06,8.197390435288263e-06,7.748805868117252e-06,7.428095582644316e-06,7.299197726095199e-06,7.289276521241953e-06,7.385417900205332e-06,7.550771190600535e-06,7.652330493250258e-06,7.519692056386587e-06,7.014135982580245e-06,6.133542294390346e-06,5.040324469096828e-06,3.951120444447006e-06,3.0120007989424244e-06,2.2701403560511552e-06,1.7110238359831562e-06,1.2983191181523175e-06,9.952368406949012e-07,7.718181799596938e-07,6.057234609724312e-07,4.809144092246654e-07,3.860375957979366e-07,3.130699118904852e-07,2.563142039798051e-07,2.1169123060764481e-07,1.7625073897730909e-07,1.4783589367134017e-07,1.2485256943153696e-07,1.061097937625283e-07,9.070848155928756e-08,7.796310767029154e-08,6.734601221713171e-08,5.84473950313205e-08,5.09462895108209e-08,4.4589295293536774e-08,3.9174847598890026e-08,3.454147561344383e-08,3.0558961867102625e-08,2.7121630441628603e-08,2.4143211004296036e-08,2.1552879055847836e-08,1.9292181136962312e-08
0.01,0.0232242543775391,0.0239097209789184,0.0234754449276324,0.0222867057775353,0.0208269988381939,0.0192413664209758,0.0173856156620542,0.0149206718925735,0.0125767253285558,0.0113181898762072,0.0106270690139956,0.0098342799086703,0.0088302404674462,0.0077842073925417,0.0069038038134118,0.0060811571456919,0.0051206465322138,0.0039338744709181,0.0029620261819755,0.0024028590033801,0.0021017351404795,0.0019349514723358,0.0017946739654301,0.0016165644315638,0.0013965628807329,0.0012196397398407,0.0011065748419551,0.0010104161808043,0.0008955521039285,0.0007527722746267,0.00060744877517,0.0004608157597548,0.0003196989567465,0.0002341195560311,0.0001967777411505,0.0001790631744315,0.0001679234643489,0.0001573571069878,0.0001449096540788,0.0001314623229721,0.0001216658454736,0.0001127087395743,9.759944247767889e-05,8.425904284390222e-05,7.738963553482996e-05,7.253347867425299e-05,6.73438979871173e-05,6.170944676568615e-05,5.508931096331487e-05,4.754920833135371e-05,4.0010536056815634e-05,3.231227965544498e-05,2.471534502079209e-05,1.868607846998742e-05,1.432223914495456e-05,1.1129188998163263e-05,9.21740820810344e-06,8.521666682672184e-06,8.187767982649654e-06,7.740001997651905e-06,7.419814327270451e-06,7.291015091250722e-06,7.280928492747964e-06,7.376653747933658e-06,7.541404990431102e-06,7.642497705306839e-06,7.509989196744386e-06,7.00551069387796e-06,6.1268048931497785e-06,5.035677815350569e-06,3.948204953370037e-06,3.010271329960358e-06,2.2691377744608795e-06,1.7104427772643844e-06,1.2979778860274106e-06,9.950323806931397e-07,7.716928234890758e-07,6.056447704310291e-07,4.808638658224704e-07,3.86004418312561e-07,3.130476877843695e-07,2.5629903529384725e-07,2.116806970676263e-07,1.7624330702590282e-07,1.4783057282531558e-07,1.248487083891055e-07,1.0610695702529264e-07,9.070637335127769e-08,7.79615241727007e-08,6.734481106696718e-08,5.8446475530361384e-08,5.0945579589575615e-08,4.458874280251212e-08,3.917441441304896e-08,3.454113359105874e-08,3.0558690047071285e-08,2.7121413078158064e-08,2.4143036174380848e-08,2.1552737662887826e-08,1.929206619120242e-08
0.015,0.017455018257836,0.0176066254127533,0.0171046360739665,0.0161921227090069,0.0151483843102949,0.014052949894839,0.0128193478538735,0.0112355296749663,0.0097013463912198,0.0088209194112952,0.0082993573622251,0.0077197113722361,0.0070084973262639,0.0062668382264885,0.0056293307261923,0.00502579807142,0.004316372870472,0.0034175426700878,0.0026454180275428,0.0021811900807699,0.0019233450538155,0.0017769279366812,0.0016528111278639,0.001496229491479,0.0013024558403613,0.0011446042002293,0.0010422372199805,0.0009546086099647,0.0008498975547553,0.0007191231968341,0.000584587622787,0.0004470867767225,0.0003128052678381,0.0002302776536023,0.0001939675572192,0.0001766580651866,0.0001657392019861,0.0001553772647408,0.0001431769042515,0.0001299909870585,0.0001203664923133,0.0001115595242779,9.671110213545476e-05,8.357684448902359e-05,7.679722247164545e-05,7.199807171231695e-05,6.686919611821539e-05,6.129959758998147e-05,5.4753525939730205e-05,4.729209055762902e-05,3.982347399207762e-05,3.2186951842763144e-05,2.4640045167752213e-05,1.864189697132632e-05,1.4295610162775177e-05,1.111269987306889e-05,9.205814403071244e-06,8.511513652542297e-06,8.178168094022607e-06,7.731218109659735e-06,7.411551516140359e-06,7.282850781850846e-06,7.272599563499941e-06,7.367910371549209e-06,7.532061997692605e-06,7.632690154020426e-06,7.500311344546313e-06,6.996906592166345e-06,6.120082277088408e-06,5.031039721173054e-06,3.945293761741917e-06,3.0085438459355184e-06,2.268136078037104e-06,1.7098621130633325e-06,1.2976368332247743e-06,9.948280046820503e-07,7.715675077319142e-07,6.055661003326093e-07,4.808133330432345e-07,3.859712465294846e-07,3.130254668333051e-07,2.562838684031501e-07,2.1167016457583203e-07,1.7623587570123524e-07,1.478252523622885e-07,1.2484484758547074e-07,1.0610412043972749e-07,9.070426524126173e-08,7.795994073943296e-08,6.734360995964813e-08,5.844555605833318e-08,5.0944869688115145e-08,4.458819032517875e-08,3.917398123678792e-08,3.4540791575446835e-08,3.055841823187556e-08,2.712119571817156e-08,2.4142861346997683e-08,2.155259627178296e-08,1.9291951246812258e-08
0.02,0.0138528387564472,0.01378915808986,0.0133091915060326,0.0125814890461405,0.0117840869014074,0.0109656046242046,0.0100687810820285,0.0089500752787159,0.0078556142900722,0.0071945084723296,0.0067799971052034,0.006329821599651,0.0057915343601831,0.0052311938666114,0.0047423100960834,0.0042756397274894,0.0037262371392656,0.0030191957309448,0.0023892588869145,0.0019966297213584,0.0017726569125839,0.0016426049545116,0.0015316061620513,0.0013924806016639,0.0012201799269973,0.0010782357581924,0.0009849484406534,0.0009046277681975,0.0008086624545792,0.0006883489072398,0.000563382890289,0.0004341516042392,0.0003062024922649,0.0002265597803408,0.0001912364955364,0.0001743167005084,0.000163611027149,0.0001534466186481,0.0001414850998113,0.0001285522189032,0.0001190945975781,0.0001104335067649,9.58387864612216e-05,8.290560384073049e-05,7.62138100515711e-05,7.147051088561106e-05,6.640113954983588e-05,6.089515651154964e-05,5.442180947398228e-05,4.7037738480655015e-05,3.9638152925457456e-05,3.206259247317964e-05,2.456520274956927e-05,1.8597923905628416e-05,1.4269080017944688e-05,1.1096259536588832e-05,9.194249727139626e-06,8.501384787008173e-06,8.16859069013344e-06,7.72245413618544e-06,7.403307087703292e-06,7.274704736403235e-06,7.26428966802776e-06,7.359187697263962e-06,7.522742126237251e-06,7.622907742357651e-06,7.490658403238273e-06,6.988323599476217e-06,6.113374397590631e-06,5.026410162934767e-06,3.94238686005911e-06,3.0068183434525844e-06,2.26713526560809e-06,1.7092818429783418e-06,1.2972959596030929e-06,9.946237126098902e-07,7.714422326683775e-07,6.054874506692063e-07,4.807628108836089e-07,3.859380804472376e-07,3.130032490366203e-07,2.56268703307395e-07,2.116596331321056e-07,1.7622844500322696e-07,1.478199322822174e-07,1.2484098702061046e-07,1.061012840058207e-07,9.07021572292328e-08,7.795835737048439e-08,6.734240889517224e-08,5.8444636615234554e-08,5.0944159806438646e-08,4.458763786153619e-08,3.9173548070106586e-08,3.4540449566607944e-08,3.0558146421515294e-08,2.712097836166902e-08,2.414268652214643e-08,2.155245488253321e-08,1.9291836303791787e-08
0.025,0.0114190844385431,0.0112630610439964,0.0108246685059699,0.0102257022383894,0.0095878570704939,0.0089431997484518,0.0082511298307284,0.007408654631028,0.0065800256993276,0.0060585709557709,0.0057168589593536,0.0053521949327625,0.0049253661757592,0.0044823786197781,0.004091593926688,0.0037165639898671,0.0032756720809846,0.0027029036757733,0.0021778708729991,0.0018406351447323,0.0016437164844394,0.001527047676728,0.0014268724613606,0.0013021227187942,0.0011476430678183,0.0010191187514732,0.0009336129630619,0.0008596082732472,0.0007712358233936,0.000660096585845,0.000543661021374,0.000421943372743,0.0002998726020233,0.0002229600267361,0.0001885812613763,0.0001720365796353,0.0001615368071288,0.0001515633577081,0.0001398328064961,0.0001271449490933,0.0001178493000265,0.0001093299916918,9.498206574684672e-05,8.22450590003813e-05,7.563919470345645e-05,7.095062498035587e-05,6.593958971425199e-05,6.049601719121183e-05,5.40940880669404e-05,4.678610771559851e-05,3.945454866433918e-05,3.193919036480173e-05,2.449081361060876e-05,1.8554157801395505e-05,1.4242648161209084e-05,1.107986777250684e-05,9.182714070667326e-06,8.491279999903402e-06,8.159035692079374e-06,7.713710009581495e-06,7.395080980682069e-06,7.266576893690367e-06,7.25599874116019e-06,7.350485651638881e-06,7.51344529034311e-06,7.613150373781939e-06,7.481030276762594e-06,6.979761638220492e-06,6.106681206253742e-06,5.021789117093087e-06,3.939484238846079e-06,3.005094819104064e-06,2.2661353360041717e-06,1.7087019666083e-06,1.2969552650211973e-06,9.94419504424958e-07,7.713169982786478e-07,6.054088214328593e-07,4.807122993402465e-07,3.859049200643501e-07,3.129810343936435e-07,2.562535400062635e-07,2.116491027362905e-07,1.7622101493179887e-07,1.4781461258506106e-07,1.2483712669450249e-07,1.0609844772355998e-07,9.070004931518405e-08,7.795677406585103e-08,6.734120787353727e-08,5.844371720106412e-08,5.0943449944545315e-08,4.4587085411583895e-08,3.917311491300463e-08,3.454010756454182e-08,3.0557874615990365e-08,2.7120761008650372e-08,2.4142511699827084e-08,2.1552313495138523e-08,1.9291721362140984e-08
0.03,0.0096780857990522,0.0094828799793469,0.0090868853285551,0.0085812935502872,0.0080537133206198,0.0075265041766617,0.0069694089408119,0.0063051986636601,0.0056501244695311,0.0052237917086111,0.0049343567725953,0.0046297060391537,0.0042794553868791,0.0039172185705766,0.0035949544985563,0.0032845967120062,0.0029208809900259,0.0024458886229136,0.00200053744924,0.0017070870412056,0.0015321550417853,0.0014265973534047,0.0013354793261254,0.0012227294538171,0.0010832177210539,0.0009661292321453,0.0008873506521995,0.0008188477329473,0.0007371141771317,0.0006340688115392,0.0005252718671941,0.0004104025139513,0.000293799028095,0.0002194728527591,0.0001859987404113,0.0001698153309119,0.0001595145159797,0.0001497257587222,0.0001382186562524,0.0001257681545273,0.0001166297740599,0.000108248311229,9.414052551124868e-05,8.159495634926864e-05,7.507317894906714e-05,7.043824772819598e-05,6.548441186962303e-05,6.0102076059515296e-05,5.377028997921918e-05,4.653715482230081e-05,3.927263746227268e-05,3.1816734507221235e-05,2.441687364542075e-05,1.8510597200948203e-05,1.4216314047376526e-05,1.1063524365882382e-05,9.17120732456264e-06,8.48119920547076e-06,8.149503021326374e-06,7.704985662506419e-06,7.386873134071561e-06,7.258467192768005e-06,7.247726718023185e-06,7.341804161581892e-06,7.504171404711476e-06,7.603417952250367e-06,7.471426869554832e-06,6.971220631191855e-06,6.100002654886788e-06,5.01717656019189e-06,3.936585888655167e-06,3.003373269490276e-06,2.2651362880577406e-06,1.7081224835526356e-06,1.2966147493380663e-06,9.94215380075595e-07,7.711918045429185e-07,6.05330212615611e-07,4.806617984098014e-07,3.858717653793535e-07,3.1295882290370324e-07,2.5623837849943685e-07,2.116385733882305e-07,1.7621358548687146e-07,1.4780929327077814e-07,1.2483326660712474e-07,1.0609561159293336e-07,9.069794149910873e-08,7.795519082552899e-08,6.73400068947409e-08,5.84427978158205e-08,5.0942740102434267e-08,4.458653297532135e-08,3.9172681765481744e-08,3.4539765569248325e-08,3.0557602815300665e-08,2.7120543659115513e-08,2.414233688003956e-08,2.1552172109598866e-08,1.9291606421859844e-08
0.035,0.0083777162253253,0.0081680833521037,0.0078103716297674,0.0073749156347093,0.0069273490344799,0.0064839369385961,0.0060212618837251,0.005479392221624,0.0049443518863238,0.0045861888273752,0.0043358850844422,0.0040753318381118,0.0037803111996216,0.0034763110172941,0.0032040490002375,0.0029412437561671,0.0026345320692566,0.0022330394977659,0.0018496926589731,0.0015914901109237,0.0014346962183093,0.0013384850941894,0.001255039713258,0.0011524255951103,0.0010256189946926,0.0009183636452331,0.0008454464037212,0.0007817701536535,0.0007058789122807,0.0006100131105369,0.0005080848718785,0.0003994757913463,0.0002879665158242,0.0002160930594355,0.0001834859865335,0.0001676507035645,0.0001575422279215,0.0001479321810379,0.0001366413434591,0.0001244208559347,0.0001154352278974,0.0001071878237134,9.331376583186612e-05,8.095505022398124e-05,7.451557117683101e-05,6.993321762892628e-05,6.503547496886005e-05,5.971323222714222e-05,5.345034517882688e-05,4.629083728027826e-05,3.909239600873528e-05,3.1695214058239776e-05,2.434337879798452e-05,1.846724066026408e-05,1.419007713527988e-05,1.1047229103041234e-05,9.159729380279994e-06,8.471142318359774e-06,8.139992599707007e-06,7.696281027923037e-06,7.378683487137174e-06,7.250375572963669e-06,7.239473534038198e-06,7.333143154345824e-06,7.494920384464262e-06,7.59371038221049e-06,7.461848086540628e-06,6.962700501560441e-06,6.093338695509398e-06,5.012572468861147e-06,3.933691800066497e-06,3.0016536912193238e-06,2.264138120603251e-06,1.7075433934113257e-06,1.2962744124128277e-06,9.940113395101856e-07,7.710666514413984e-07,6.052516242095087e-07,4.80611308088929e-07,3.858386163907792e-07,3.129366145661284e-07,2.562232187865966e-07,2.1162804508776905e-07,1.7620615666836574e-07,1.4780397433932722e-07,1.2482940675845506e-07,1.0609277561392857e-07,9.069583378099992e-08,7.795360764951442e-08,6.73388059587808e-08,5.844187845950237e-08,5.094203028010473e-08,4.45859805527481e-08,3.9172248627537595e-08,3.453942358072721e-08,3.0557331019446033e-08,2.7120326313064352e-08,2.4142162062783817e-08,2.1552030725914207e-08,1.929149148294831e-08
0.04,0.007373177518686,0.0071611649642922,0.0068367515903905,0.0064555449212243,0.0060682887679036,0.0056872138320083,0.0052936516900362,0.0048398034387989,0.0043915771434687,0.0040842411854181,0.0038642001658186,0.0036372326291624,0.0033835894285673,0.0031231752580951,0.0028886933864503,0.0026620216624497,0.0023987241313237,0.0020539509274545,0.0017198469791581,0.001490469609913,0.0013488356826835,0.00126057757737,0.0011837023620204,0.0010897393677659,0.0009738191592677,0.0008750874247399,0.0008073132545952,0.0007478987706907,0.0006771791632706,0.0005877137828407,0.0004919859799367,0.000389115481078,0.0002823609971594,0.0002128157630029,0.0001810402106492,0.000165540560097,0.0001556181112252,0.0001461810616643,0.000135099621406,0.0001231021155542,0.0001142649018623,0.0001061479123792,9.250140071104e-05,8.03251026069206e-05,7.396618542559136e-05,6.943537778078928e-05,6.459265153384826e-05,5.932938739877375e-05,5.31341852906716e-05,4.604711346451243e-05,3.891380141917449e-05,3.1574618340668774e-05,2.427032506096697e-05,1.842408674881809e-05,1.416393688773966e-05,1.1030981771566213e-05,9.148280129816509e-06,8.461109253624333e-06,8.130504349418294e-06,7.687596039096774e-06,7.370511979413355e-06,7.242301973875126e-06,7.23123912492049e-06,7.32450255752637e-06,7.485692145141418e-06,7.584027568597225e-06,7.452293833132554e-06,6.954201172871522e-06,6.086689280350639e-06,5.007976819816538e-06,3.930801963687876e-06,2.9999360809070705e-06,2.263140832477207e-06,1.7069646957848843e-06,1.2959342541047556e-06,9.938073826771554e-07,7.709415389543066e-07,6.051730562066033e-07,4.805608283742865e-07,3.858054730971593e-07,3.129144093802478e-07,2.562080608674245e-07,2.1161751783474994e-07,1.7619872847620237e-07,1.477986557906671e-07,1.248255471484713e-07,1.060899397865335e-07,9.069372616085083e-08,7.795202453780328e-08,6.733760506565478e-08,5.844095913210834e-08,5.0941320477555874e-08,4.4585428143863566e-08,3.9171815499171894e-08,3.4539081598978295e-08,3.0557059228426365e-08,2.7120108970496826e-08,2.41419872480598e-08,2.155188934408451e-08,1.9291376545406385e-08
0.045,0.0065759490596856,0.0063675120639983,0.0060717490621387,0.0057335474097011,0.0053931506580367,0.0050600034798269,0.0047188653037357,0.0043307548369529,0.0039475930129225,0.0036793716751572,0.003483358210083,0.003282715789267,0.003061033308946,0.002834232056762,0.0026291141375368,0.0024306473031758,0.0022012612590324,0.0019012314435497,0.0016069232669969,0.0014014437569719,0.0012726270182783,0.0011912050522522,0.0011200098125317,0.0010334997071698,0.000926986495805,0.0008356973148953,0.000772464952512,0.0007168355898765,0.0006507186488886,0.000566985448217,0.0004768751111283,0.0003792786767567,0.0002769694775088,0.0002096363713822,0.000178658770358,0.0001634828692541,0.0001537404225413,0.0001444709107319,0.0001335922990089,0.0001218110349572,0.000113118066771,0.000105127984162,9.170305747520138e-05,7.970488283115358e-05,7.342484117785546e-05,6.894457571796872e-05,6.415581753477272e-05,5.895044579025474e-05,5.282174354784896e-05,4.58059426220011e-05,3.873683122532226e-05,3.14549368392022e-05,2.419770847499425e-05,1.8381134049425303e-05,1.413789277152732e-05,1.101478216028789e-05,9.136859465708642e-06,8.451099926720274e-06,8.121038193019594e-06,7.678930629593949e-06,7.3623585507021105e-06,7.234246335368883e-06,7.223023426677472e-06,7.315882299060072e-06,7.476486602698337e-06,7.574369416829746e-06,7.442764015227005e-06,6.945722569043234e-06,6.080054361847864e-06,5.003389589859055e-06,3.927916370154691e-06,2.998220435177129e-06,2.262144422518162e-06,1.70638639027437e-06,1.2955942742732743e-06,9.936035095249737e-07,7.708164670618764e-07,6.050945085989507e-07,4.805103592625321e-07,3.857723354970265e-07,3.1289220734539045e-07,2.561929047416022e-07,2.116069916290168e-07,1.761913009103021e-07,1.4779333762475634e-07,1.2482168777715133e-07,1.0608710411073597e-07,9.06916186386546e-08,7.795044149039174e-08,6.73364042153604e-08,5.8440039833637043e-08,5.094061069478684e-08,4.458487574866728e-08,3.9171382380384295e-08,3.4538739624001385e-08,3.055678744224152e-08,2.711989163141284e-08,2.4141812435867456e-08,2.155174796410974e-08,1.929126160923403e-08
